,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,total_asset_value,loan_status
0,2,1,0,16.077273656438063,17.213369038360916,12,778,17.74143646856141,1
1,0,0,1,15.226497531674536,16.316946509703484,8,417,16.64872390202049,0
2,3,1,0,16.02378497148708,17.20665760377293,20,506,17.870767731478328,0
3,3,1,0,15.919644712234481,17.239773212557427,8,467,17.78012601351159,0
4,5,0,1,16.0978929436408,17.001863191126915,20,382,17.822843743196746,0
5,0,1,1,15.38412647587812,16.41820024340866,10,319,17.33892557235068,0
6,5,1,0,15.978833583624812,17.312018119430753,4,678,18.075369558663947,1
7,2,1,1,15.555976732804778,16.523560759066484,20,382,17.4182873130248,0
8,0,1,1,13.592367006650065,14.603967918328545,20,782,15.520258650202699,1
9,5,0,0,13.9108207377686,15.27412558066379,10,388,16.06680235657077,0
10,4,1,1,14.880221294956703,16.231424336265324,2,547,17.050259731988763,1
11,2,0,1,15.717618084361195,16.93787548245163,18,538,17.684626062381145,0
12,3,0,1,15.424948470398375,16.266515656076592,16,311,17.367997387172654,0
13,2,1,1,16.02378497148708,17.26549810379586,14,679,17.791446889136072,1
14,1,0,0,14.457364444136669,15.816990558174398,6,469,16.204273347199372,0
15,5,0,0,15.363073066680286,16.185754299432134,10,794,17.22995316637645,1
16,2,1,1,13.122363377404328,14.28551418721001,4,663,15.03928598958639,1
17,4,0,1,14.880221294956703,16.056220247240233,14,780,16.630919277386983,1
18,2,1,0,14.808762330974558,16.147654453199863,10,736,16.166885815127753,1
19,5,1,0,15.65606019136176,16.496532086678563,12,652,17.581351053214338,1
20,2,1,0,15.424948470398375,16.780783624033557,12,315,17.376556640568324,0
21,4,1,0,15.573368475516649,16.454567887579532,16,530,17.569709478198853,0
22,4,1,1,15.687312734865866,17.06200154986545,18,311,17.572048660552024,0
23,0,0,1,13.122363377404328,14.151982794585487,2,551,14.880221294956703,1
24,0,0,0,15.404745763080856,16.0978929436408,16,324,17.065885049891847,0
25,5,0,0,14.946912669455374,16.06680235657077,20,514,16.821193162371433,0
26,4,1,0,15.919644712234481,17.151280134303974,12,696,17.815544440715133,1
27,4,0,1,14.690979295318174,15.538277155705378,4,662,16.62491325332677,1
28,5,0,1,15.761420707019587,16.99356438831222,6,336,17.755148730425393,0
29,3,0,1,16.012735135300492,17.26549810379586,10,850,18.14492724236586,1
30,2,0,0,16.0978929436408,17.04631495369775,12,313,17.91318291027905,0
31,2,1,0,15.555976732804778,16.300417207752275,6,363,17.4264284706085,0
32,1,0,1,13.592367006650065,14.28551418721001,10,436,15.226497531674536,0
33,5,0,1,15.943742263813542,16.90655301132259,2,830,17.312018119430753,1
34,3,1,0,15.404745763080856,16.292048958081757,8,612,17.39066124674987,1
35,2,1,1,14.346138809026444,15.03928598958639,8,691,16.333207030575267,1
36,3,0,0,14.28551418721001,15.64005985001532,18,636,16.195056692094447,1
37,5,1,1,15.89495209964411,17.118727531266227,6,348,17.23323724157764,0
38,5,1,0,15.096444403426338,15.856730886823913,16,830,16.869511739642242,1
39,3,0,1,14.22097566607244,15.444751097694555,6,352,15.732433170146335,0
40,1,1,0,15.86963429165982,16.711422496236054,2,712,17.73748389424559,1
41,2,0,0,16.02378497148708,17.030378361434938,16,822,18.07254070246347,1
42,3,1,0,14.151982794585487,15.03928598958639,6,540,15.671808548329901,0
43,2,1,1,13.592367006650065,14.648419680899378,12,342,15.623799329143539,0
44,5,1,0,15.687312734865866,16.41076526492114,18,787,17.506886892276796,1
45,4,1,0,15.89495209964411,17.140546578660864,16,331,17.75903223045179,0
46,3,0,1,15.250595083253597,16.496532086678563,6,679,16.946647468524468,1
47,1,1,1,15.404745763080856,16.76519889301686,14,677,17.47135015800001,1
48,3,0,0,15.520258650202699,16.835935444108635,12,634,17.40180342330311,1
49,1,0,1,16.06680235657077,16.76519889301686,16,662,17.909855120186375,1
50,4,1,0,15.80338490611862,17.050259731988763,16,502,17.32106795495067,0
51,2,1,0,15.978833583624812,17.022313801598205,10,435,17.585969999070635,0
52,5,0,0,15.150511624696614,15.84365880525656,4,689,16.883563493097892,1
53,1,0,1,15.943742263813542,16.951004773893423,12,657,18.068282356780895,1
54,2,1,1,15.444751097694555,16.796129193708218,20,590,17.49181122987135,1
55,5,0,0,15.717618084361195,17.014183675514957,12,818,17.193098073987297,1
56,2,0,0,15.27412558066379,16.176364559082295,18,431,16.711422496236054,0
57,5,1,1,16.045524958123483,17.23323724157764,18,841,18.104599196978885,1
58,1,1,0,15.816990558174398,16.727861222579214,20,421,17.711404181462537,0
59,4,0,1,15.520258650202699,16.716932152047026,16,797,17.15483253590834,1
60,2,0,0,15.955576721460545,16.75467248002987,18,478,18.164497338559954,0
61,3,0,1,16.077273656438063,17.23323724157764,18,669,17.562658920202185,1
62,5,0,1,15.990262279448435,17.17935215308266,6,365,17.9914351071788,0
63,3,0,1,15.009433026436708,15.830413578506539,20,586,16.84080163375981,1
64,4,1,1,15.176487111099874,16.325109820342647,18,784,17.22995316637645,1
65,1,1,0,15.226497531674536,16.147654453199863,12,364,17.32106795495067,0
66,3,0,0,15.931766072766827,17.18624873214172,10,715,17.80449460452855,1
67,0,0,1,14.808762330974558,16.12804598181149,20,693,16.034714042019267,0
68,4,1,0,15.538277155705378,16.333207030575267,4,777,17.069753526669768,1
69,0,1,0,14.457364444136669,15.424948470398375,12,312,16.461685355348397,0
70,4,0,1,13.122363377404328,14.22097566607244,20,340,14.845129975145433,0
71,5,1,1,15.483217378522351,16.73867213868343,4,386,17.16541464523888,1
72,5,0,0,15.761420707019587,16.722411617811648,4,418,17.896432099854234,0
73,3,0,1,15.573368475516649,16.630919277386983,16,735,17.26549810379586,1
74,2,0,0,14.77102200299171,15.943742263813542,6,494,16.70031127081098,0
75,2,0,0,14.457364444136669,15.687312734865866,18,671,16.012735135300492,1
76,4,1,0,15.555976732804778,16.510137738734343,16,697,17.53637305793126,1
77,0,1,0,16.012735135300492,17.327055996795295,8,801,18.02020317735524,1
78,2,0,0,15.955576721460545,17.19650523230891,12,576,17.865554861289795,1
79,0,0,0,13.458835614025542,14.151982794585487,14,639,15.590462908875947,1
80,4,1,0,15.068273526459642,16.00156183470237,4,470,16.694709015262312,0
81,0,0,0,15.990262279448435,17.255928652779712,4,826,17.628817590453263,1
82,2,0,1,16.108045315104818,16.869511739642242,16,363,18.068282356780895,0
83,3,1,0,15.096444403426338,15.967272761223736,20,613,16.963963918535928,1
84,3,0,1,14.914122846632385,15.919644712234481,16,713,17.054189010128656,1
85,2,1,0,15.732433170146335,16.869511739642242,16,439,17.701189588052817,0
86,5,0,1,13.9108207377686,15.150511624696614,18,387,15.88237331743725,0
87,1,0,1,15.978833583624812,17.158372362613466,8,402,18.093564602255178,0
88,4,1,1,14.508657738524219,15.89495209964411,6,837,16.489659207390805,1
89,2,0,0,16.0978929436408,17.442514608360124,10,641,17.824660274123143,1
90,4,1,0,15.555976732804778,16.864783598446294,18,489,16.963963918535928,0
91,4,1,0,15.990262279448435,16.8456442582356,18,540,17.86729550576758,0
92,4,1,0,15.150511624696614,16.00156183470237,4,844,17.22995316637645,1
93,1,1,0,14.346138809026444,15.671808548329901,10,452,16.08763644347361,0
94,2,1,0,13.815510557964274,14.508657738524219,10,366,15.623799329143539,0
95,5,1,0,12.611537753638338,13.9108207377686,2,300,14.346138809026444,1
96,2,1,1,15.702580206996654,16.523560759066484,18,470,17.255928652779712,0
97,2,0,0,15.978833583624812,17.034386382832476,20,861,17.798923559479093,1
98,4,1,0,16.056220247240233,17.19650523230891,12,562,18.25344482457645,1
99,0,1,0,15.29711509888849,16.195056692094447,14,463,17.06200154986545,0
100,4,0,0,12.89921982609012,13.710150042306449,12,478,14.557447902693651,0
101,2,0,1,12.611537753638338,13.9108207377686,2,702,13.997832114758229,1
102,2,0,1,15.27412558066379,16.3727378693319,20,618,17.175885945106174,1
103,4,1,0,14.28551418721001,15.319587954740548,12,633,15.943742263813542,1
104,5,0,1,15.64005985001532,16.97675726999584,10,331,17.93129040090644,0
105,3,0,1,15.250595083253597,16.08763644347361,16,841,17.213369038360916,1
106,4,0,1,16.012735135300492,16.711422496236054,12,764,17.717483227538917,1
107,0,1,0,14.808762330974558,16.176364559082295,6,591,16.569171270318538,1
108,1,1,1,16.08763644347361,17.396247853458508,2,719,17.884537312202085,1
109,2,1,0,15.009433026436708,15.732433170146335,14,317,16.759949537130716,0
110,0,0,0,12.611537753638338,13.9108207377686,8,778,14.508657738524219,1
111,3,1,1,15.816990558174398,16.716932152047026,14,302,17.26866767855714,0
112,5,0,0,15.775605342011543,16.796129193708218,8,502,17.686711568872166,0
113,5,0,1,15.80338490611862,16.911088166487982,18,879,17.896432099854234,1
114,1,0,0,15.943742263813542,16.96824658032793,14,437,17.95387200560315,0
115,0,0,1,15.009433026436708,16.195056692094447,12,797,16.68340946000838,1
116,4,0,1,15.573368475516649,16.95966283663654,18,456,17.7355017330416,0
117,0,0,0,13.304684934198283,14.28551418721001,6,647,15.27412558066379,1
118,0,0,0,15.789591583986283,16.575520497997196,12,379,17.72753356339242,0
119,1,0,1,16.02378497148708,17.3089832157356,2,717,17.33300839532259,1
120,5,1,0,13.710150042306449,14.648419680899378,16,545,15.150511624696614,0
121,2,1,0,13.592367006650065,14.978661367769956,8,317,15.250595083253597,0
122,1,0,0,15.955576721460545,17.3089832157356,10,570,17.434503884614045,1
123,0,0,1,16.012735135300492,16.744034081824815,18,865,17.893048001869992,1
124,3,1,0,15.761420707019587,16.785925023533974,14,719,17.74537348152075,1
125,3,1,0,12.206072645530174,13.304684934198283,16,821,13.9108207377686,1
126,4,0,1,12.89921982609012,13.592367006650065,10,859,14.690979295318174,1
127,3,0,0,15.444751097694555,16.716932152047026,10,395,17.213369038360916,0
128,2,0,1,13.458835614025542,14.77102200299171,12,429,15.671808548329901,0
129,3,1,0,12.89921982609012,13.997832114758229,12,861,14.557447902693651,1
130,0,0,1,16.06680235657077,16.850463544671545,14,565,18.123621509687986,1
131,5,1,0,15.990262279448435,16.933460464242515,10,357,17.49433967622471,0
132,3,0,1,14.403297222866392,15.096444403426338,18,465,16.02378497148708,0
133,4,0,1,15.732433170146335,16.44739939810092,8,479,17.842646370492925,0
134,3,0,0,14.22097566607244,15.520258650202699,16,717,15.967272761223736,1
135,3,1,0,14.28551418721001,15.520258650202699,12,425,15.856730886823913,0
136,2,0,0,15.341566861459324,16.630919277386983,2,786,17.077445872292923,1
137,5,0,1,14.603967918328545,15.717618084361195,6,382,16.549878067383858,0
138,3,0,1,14.880221294956703,15.955576721460545,12,564,16.41076526492114,1
139,0,1,0,12.206072645530174,13.458835614025542,8,501,14.22097566607244,0
140,2,0,1,14.73180128983843,16.056220247240233,10,727,16.972510979114386,1
141,4,0,0,15.096444403426338,15.830413578506539,6,894,16.694709015262312,1
142,0,1,1,15.520258650202699,16.630919277386983,18,829,17.054189010128656,1
143,4,0,0,15.702580206996654,16.671980764184756,20,506,17.637608855864432,0
144,2,1,1,15.967272761223736,17.284366588100244,6,802,17.916499662905043,1
145,5,0,0,13.304684934198283,14.22097566607244,14,543,15.096444403426338,0
146,3,1,1,14.151982794585487,14.978661367769956,20,772,16.11809565095832,1
147,3,1,0,15.201804919084164,16.222455666282563,12,572,17.022313801598205,1
148,0,0,1,15.404745763080856,16.292048958081757,16,709,17.447819660589815,1
149,5,1,0,14.508657738524219,15.64005985001532,18,402,16.48273876454623,0
150,1,0,1,15.464169183551656,16.775615653875114,8,481,17.661393760887876,0
151,5,1,1,16.00156183470237,17.175885945106174,6,772,17.684626062381145,1
152,1,1,1,15.687312734865866,16.84080163375981,2,306,17.481633024955595,1
153,2,0,0,14.077874822431765,15.319587954740548,6,415,15.424948470398375,0
154,3,0,0,16.056220247240233,17.37085861945369,16,548,17.96655046386292,0
155,5,0,0,15.424948470398375,16.231424336265324,8,701,17.15483253590834,1
156,2,1,0,14.914122846632385,15.856730886823913,12,890,16.785925023533974,1
157,5,0,1,16.108045315104818,17.32106795495067,6,364,17.911520399505434,0
158,5,1,1,13.458835614025542,14.077874822431765,20,704,15.29711509888849,1
159,3,1,1,15.201804919084164,16.176364559082295,10,318,16.785925023533974,0
160,5,0,0,14.946912669455374,16.077273656438063,2,761,16.915602846842507,1
161,4,0,0,15.319587954740548,16.530205301785152,6,693,17.182806387950748,1
162,3,0,0,16.08763644347361,16.84080163375981,16,524,18.04671430290357,0
163,2,0,1,14.508657738524219,15.483217378522351,10,681,16.41820024340866,1
164,2,1,1,15.907374619642667,16.920097236430347,18,737,18.052511420587898,1
165,0,0,0,15.555976732804778,16.58182966719046,16,638,17.22995316637645,1
166,4,0,0,15.573368475516649,16.364955728889846,2,656,17.005986908310778,1
167,1,1,0,14.403297222866392,15.687312734865866,6,540,16.283610089435893,0
168,4,0,1,16.02378497148708,17.376556640568324,6,341,17.299822846336937,0
169,0,0,1,15.38412647587812,16.67771143889374,2,371,17.521738650412825,1
170,3,0,1,15.150511624696614,16.166885815127753,12,886,16.892822818510687,1
171,0,0,0,14.457364444136669,15.226497531674536,18,801,15.789591583986283,1
172,3,0,1,15.096444403426338,16.06680235657077,16,748,16.924571516825267,1
173,2,0,1,15.816990558174398,17.15483253590834,8,376,17.717483227538917,0
174,4,0,1,15.702580206996654,16.475770095230136,8,371,17.64849035605197,0
175,2,1,0,14.403297222866392,15.483217378522351,6,826,16.38045991542581,1
176,4,0,0,16.034714042019267,17.118727531266227,12,873,17.757092365633966,1
177,5,0,1,14.690979295318174,15.967272761223736,8,309,16.077273656438063,0
178,4,0,0,15.538277155705378,16.40327459319198,20,869,17.434503884614045,1
179,5,1,0,15.150511624696614,16.44739939810092,12,534,16.73867213868343,0
180,3,0,1,15.319587954740548,16.70031127081098,6,787,17.278116567755074,1
